# cluster_id	shot	cam_x	cam_y	cam_z	yaw	pitch	env	time	aim_x	aim_y	aim_z	label	mode	fires	flash
196	detail1~o45	-2948.3	56.5	-103.9	359.52	18.06	Clear	0.64	-2948.6	43.4	-63.7	Build b54900c2		0	
218	detail1	598.6	51.6	-2718.6	225	20.63	Clear	0.64	570.6	36.6	-2746.7	Build cdab5440		0	
289	detail1~o45~lo12	-5925.3	107.5	10312.1	269.57	23.8	Clear	0.64	-5971	87.3	10311.8	Build 539ddd8e		0	
290	detail1~o45~o45	4723	142.6	-12213	314.09	18.11	Clear	0.64	4694.2	129.5	-12185.1	Build b2077dff		0	
291	detail1~c75~up20	10.7	116.4	16333.7	315	79.56	Clear	0.64	2.7	55.3	16341.7	Build 84106697		0	
292	detail1~o45~o45	-110.1	119.5	12354.1	44.13	27.77	Clear	0.64	-82.2	98.4	12382.9	Build ce24e31b		0	
293	detail1~up20~up20	-318.7	98.3	16353.5	225	58.59	Clear	0.64	-333.9	63.1	16338.3	Build 3d20e62e		0	
294	detail1~up20~up20	3704.1	123.6	-12490.6	225	58.59	Clear	0.64	3688.9	88.4	-12505.8	Build f8e26360		0	
295	detail1	-14789.9	143.6	8931.4	225	35.83	Clear	0.64	-14818.4	114.5	8902.9	Build a3e3c1fa		0	
296	detail1~up20~lo12	15130.7	93.1	2662.2	315	26.05	Clear	0.64	15104	74.6	2688.9	Build 684743a2		0	
297	detail1~up20~up20	16791.4	81.7	2687.5	225.13	61.36	Clear	0.64	16777.3	45.4	2673.5	Build 7a2c1a34		0	
