config,bots,changed_per_tick,overruns,total_p50,total_p99,total_p99_p50_ratio,interest_p50,interest_p99,interest_max,sent,culled,near,mid,far
near30mid64,50,2500.0,0,0.6599,0.8649,1.31,0.0599,0.1274,0.1403,7246,242754,1230,4128,239642
near30mid64,100,10000.0,0,1.2353,1.8099,1.47,0.2083,0.2617,0.2683,17486,982514,4034,13828,972138
near30mid64,200,40000.0,0,3.0657,5.1639,1.68,0.8466,0.9297,1.1545,54510,3945490,18260,65276,3896464
near30mid64,400,0.0,0,0.0000,0.0000,0.00,0.0000,0.0000,0.0000,0,0,0,0,0
